19	22	32	33	36	39
18	25	26	28	36	39
10	21	26	27	28	36
13	18	19	24	25	30
3	9	30	33	37	38
2	13	20	28	31	34
6	17	20	25	36	39
4	6	9	25	26	33
2	15	16	25	34	39
3	9	11	24	26	35
2	7	8	9	28	36
6	7	27	31	34	37
6	7	14	26	27	39
3	4	6	9	17	39
13	14	18	25	27	29
4	8	20	21	31	35
10	18	21	25	27	28
4	12	24	36	37	38
3	5	10	35	38	39
5	10	11	21	23	29
1	7	8	11	13	20
1	15	16	19	27	39
4	13	18	23	26	38
6	12	17	22	26	28
6	21	22	33	35	36
1	6	25	26	29	35
8	16	17	26	36	39
7	18	23	24	25	32
2	3	5	9	25	26
1	4	11	13	29	31
3	13	18	22	23	29
2	6	9	16	25	35
1	11	14	15	17	37
11	13	15	22	24	38
4	13	15	17	19	30
19	25	26	28	30	33
5	6	12	17	31	37
1	3	18	21	29	39
4	9	13	22	25	37
13	15	17	20	22	29
6	7	18	21	29	38
6	14	26	27	30	32
10	11	13	16	21	22
19	22	27	30	33	38
2	8	12	19	23	25
3	6	9	22	24	34
1	7	9	13	16	22
9	10	15	17	30	32
5	12	21	22	27	29
6	8	14	32	33	37
5	17	18	22	24	26
1	9	18	33	37	39
9	12	19	21	35	36
14	20	24	26	32	33
10	17	20	24	26	32
4	5	8	13	24	38
3	22	26	27	31	39
8	12	13	16	34	38
1	4	5	10	13	27
13	18	23	24	25	37
1	6	10	19	27	29
11	13	15	19	26	30
7	11	15	17	20	21
11	19	25	28	31	33
17	20	22	24	33	34
3	7	13	26	36	39
3	26	27	32	37	38
3	10	19	31	37	39
8	15	25	30	33	38
19	21	26	30	35	38
7	13	16	29	31	37
7	9	14	19	21	27
2	10	13	22	26	34
3	5	18	27	30	31
7	13	19	21	32	33
7	11	12	30	32	34
3	7	13	19	22	32
2	4	8	19	22	27
1	5	31	34	35	37
16	24	28	29	34	38
5	7	14	15	19	31
2	4	17	18	26	37
6	22	23	26	36	38
9	21	22	24	33	35
6	12	22	32	37	38
1	3	16	29	35	36
2	15	16	19	27	28
1	4	13	21	26	36
5	9	10	16	19	24
1	17	18	25	29	30
2	5	19	29	31	35
2	5	23	30	31	39
2	6	16	21	24	34
11	16	18	21	38	39
10	24	25	26	27	37
