16	17	21	34	37	46	3
6	10	11	23	42	47	44
10	17	24	28	35	36	40
5	16	24	31	38	47	42
6	14	17	18	31	43	38
21	23	31	33	38	42	22
9	21	25	26	31	41	11
11	13	14	20	43	49	25
1	16	17	24	41	46	22
10	11	21	28	38	44	17
3	4	8	12	13	46	26
2	8	9	13	41	44	27
5	9	11	36	42	43	41
9	10	23	28	41	47	17
2	14	19	28	42	44	34
8	22	23	36	40	42	5
10	17	20	24	33	35	28
1	6	19	30	32	44	33
24	34	36	38	42	43	30
1	10	18	19	23	27	48
2	11	13	23	35	48	30
3	5	14	18	26	28	40
1	5	10	15	40	41	27
15	20	23	27	39	48	34
16	27	30	38	47	49	8
9	16	26	27	32	34	37
20	22	40	41	42	47	15
3	37	40	41	47	49	6
6	7	12	32	34	46	33
3	4	7	19	30	48	21
15	16	20	24	26	31	37
13	14	31	39	42	45	44
6	12	13	21	31	42	22
9	11	21	26	28	45	49
3	5	6	9	33	47	19
2	4	6	22	25	42	44
6	9	30	37	43	49	18
11	17	26	27	37	48	31
4	7	9	21	25	42	49
21	25	26	29	36	45	38
15	17	24	27	42	47	39
13	24	29	31	33	47	43
4	21	28	33	38	41	23
8	29	30	37	41	44	6
8	28	31	40	42	47	37
3	27	33	38	42	48	32
1	3	31	32	39	49	48
7	18	22	31	38	39	2
8	11	14	19	42	49	24
2	5	17	23	33	47	9
6	21	33	36	39	46	24
14	16	25	39	45	47	26
3	5	17	18	35	46	10
6	13	22	39	40	41	27
4	8	30	31	35	43	42
1	15	17	20	23	43	44
8	10	17	36	39	44	40
3	14	16	33	47	48	29
4	17	22	30	36	38	3
11	20	26	32	39	43	49
2	12	19	38	41	47	46
3	4	15	17	38	47	36
6	25	26	29	37	43	41
2	7	22	26	32	38	20
23	30	38	40	43	45	10
4	5	9	19	22	23	16
6	7	9	39	47	49	15
7	18	34	41	48	49	29
14	15	16	43	44	46	38
15	25	26	33	38	47	27
2	7	25	30	34	36	6
23	28	30	32	42	44	24
7	12	22	35	39	43	13
1	16	28	33	39	45	13
8	11	20	24	41	42	47
4	5	6	8	39	42	30
5	15	17	18	37	42	44
7	8	22	32	40	45	25
7	16	22	27	35	49	11
9	28	36	37	40	46	47
6	23	34	35	38	44	21
3	4	6	10	18	26	14
2	10	14	23	26	31	12
18	29	31	36	43	47	23
4	17	18	24	29	39	21
6	10	37	39	42	48	28
4	11	21	25	44	47	3
8	21	24	33	41	46	29
4	23	25	36	47	48	3
6	8	25	31	32	33	1
4	16	19	22	36	40	21
1	7	18	28	30	34	48
3	18	28	29	37	43	47
14	29	37	41	48	49	31
1	2	7	9	18	27	5
9	12	21	37	38	43	31
10	14	23	41	42	47	19
12	29	34	44	47	49	37
1	3	5	8	13	31	21
2	15	21	40	41	44	23
14	27	28	30	45	46	44
9	11	20	22	37	46	47
4	6	13	28	29	36	9
1	10	11	12	19	27	29
1	3	7	16	17	37	35
6	27	30	34	35	42	16
3	5	11	16	21	45	29
7	13	27	33	35	36	5
20	27	30	32	34	40	9
4	11	20	23	41	45	22
14	18	35	38	41	43	15
4	8	10	30	33	39	25
7	21	28	32	38	42	5
2	9	25	27	31	42	18
8	13	33	34	38	43	12
7	19	25	26	31	44	35
20	23	34	38	43	47	15
4	5	32	37	38	44	34
4	13	24	36	39	41	47
21	31	34	37	38	44	9
7	19	32	39	40	48	45
