2	5	23	31	37	39	4
7	16	21	27	30	31	26
2	9	13	19	21	45	38
2	12	22	24	33	41	10
2	7	15	20	21	23	45
17	19	29	31	37	41	34
1	4	25	31	32	38	45
1	2	7	33	34	40	6
29	32	33	35	36	44	42
6	8	19	20	38	46	23
3	8	15	22	25	27	20
2	8	14	18	39	44	16
17	20	22	24	25	40	18
5	14	28	29	32	38	31
15	16	18	26	27	38	43
1	21	33	37	38	40	8
31	38	39	40	42	47	43
5	13	15	23	36	45	28
9	15	29	36	44	47	34
10	11	18	27	28	42	38
1	4	5	16	39	47	38
4	16	18	24	32	35	46
1	8	18	25	39	41	28
15	17	21	24	28	36	33
4	7	17	19	27	34	9
9	16	27	41	42	47	4
7	11	26	30	45	47	1
21	31	32	43	44	47	24
5	13	14	23	31	34	1
2	3	17	21	34	39	5
8	10	11	25	28	32	35
2	10	12	14	31	46	42
9	13	16	27	32	33	44
2	8	9	16	27	43	14
18	23	25	26	42	43	2
9	16	25	31	38	43	13
15	18	24	28	33	47	43
4	6	16	18	26	32	10
19	24	31	36	38	42	14
9	26	27	30	42	44	17
3	11	14	24	30	35	12
1	2	4	22	38	40	29
7	19	20	32	34	43	45
2	8	20	25	33	45	7
1	4	5	6	18	47	35
7	11	18	23	28	40	37
5	12	18	19	29	39	10
1	16	17	32	34	35	5
7	19	30	31	37	42	35
3	12	19	23	37	40	31
7	16	17	25	31	33	39
1	19	22	26	44	45	35
2	7	10	27	29	37	40
17	20	26	28	36	47	42
7	12	20	23	25	41	38
7	18	29	32	34	41	20
1	6	13	24	37	40	23
8	14	20	21	41	44	9
1	5	27	28	32	45	7
5	10	18	23	36	46	40
5	6	24	30	38	47	27
11	31	32	33	38	45	37
7	16	18	20	24	37	13
11	13	19	26	38	41	29
6	10	15	25	34	45	42
3	20	31	32	43	46	19
12	15	24	29	33	46	22
9	14	32	34	40	42	22
7	10	20	22	40	46	3
5	6	19	20	24	29	39
4	9	17	20	23	33	19
8	10	22	31	36	37	43
15	31	33	34	36	43	39
2	5	12	34	41	47	29
6	16	21	22	30	45	8
11	17	29	30	38	42	16
11	32	39	41	42	44	9
4	16	33	39	43	47	19
7	8	19	29	36	47	17
3	7	17	21	22	28	2
1	15	24	31	35	36	19
3	12	16	21	39	44	47
1	16	24	28	39	40	29
13	17	18	25	26	27	12
8	18	23	29	30	31	47
