13	15	17	19	35	57	21
20	22	25	34	47	51	18
15	17	31	41	50	57	5
7	14	20	33	47	55	15
5	13	24	31	40	41	7
5	12	43	51	53	57	28
7	14	21	35	41	42	43
21	27	31	34	40	54	22
13	14	31	42	44	58	1
13	21	30	39	51	56	1
26	31	35	37	40	49	36
11	19	29	37	40	41	47
4	15	21	26	39	58	20
11	14	22	37	53	56	55
4	14	18	19	26	27	25
2	17	35	41	57	59	42
5	15	33	47	51	59	7
15	16	23	39	48	59	36
2	13	25	32	37	39	48
10	12	18	34	52	56	50
23	25	34	36	37	54	49
1	6	21	31	41	44	42
8	38	41	42	50	58	24
8	9	10	11	41	54	24
18	36	37	38	54	57	14
1	8	12	25	43	52	38
4	12	38	46	57	59	8
26	27	46	47	52	58	48
8	30	40	50	54	57	13
12	25	29	40	48	56	52
22	31	47	52	55	59	23
17	21	31	38	44	58	20
1	2	4	19	28	41	32
13	14	27	46	48	50	42
10	12	35	46	48	57	14
15	22	25	40	53	57	23
3	8	14	28	34	53	32
10	11	15	50	51	56	23
9	11	14	28	37	42	12
7	12	20	24	34	52	18
18	29	38	41	43	57	8
2	8	10	11	32	47	18
9	23	30	46	49	55	37
2	23	39	54	55	57	11
2	17	27	28	51	52	14
2	3	34	43	49	50	38
11	13	18	25	29	47	59
26	39	41	42	55	59	16
26	36	41	46	49	52	9
29	31	43	55	58	59	11
13	14	21	25	51	53	39
8	30	37	40	46	50	36
7	13	20	27	39	52	35
2	3	16	32	53	54	8
5	7	11	30	44	49	25
7	8	9	14	35	44	4
5	8	11	17	40	45	6
9	17	31	33	41	42	26
9	17	21	23	35	36	37
14	26	28	31	32	44	22
12	14	21	22	37	43	36
14	20	28	31	40	46	44
6	18	20	21	29	31	3
24	29	33	40	43	49	22
2	9	27	29	33	40	46
12	18	23	33	42	43	10
3	4	7	18	48	49	32
7	19	22	28	40	44	31
5	6	7	25	27	33	34
4	8	10	21	41	49	28
6	15	17	20	24	25	37
6	22	28	30	39	44	33
5	8	12	28	39	41	18
1	16	27	42	46	47	24
18	21	31	42	45	47	19
2	4	5	15	20	48	37
7	23	26	33	38	45	29
8	15	17	33	41	47	35
4	7	14	21	22	29	41
6	12	32	36	38	47	1
3	10	35	38	40	41	27
13	14	35	39	46	49	3
4	10	13	18	29	33	49
2	4	8	21	30	38	22
14	23	28	33	35	42	4
1	6	23	25	32	35	27
2	8	12	15	21	42	22
18	23	25	37	39	47	17
23	29	30	39	42	49	5
10	14	19	24	28	33	6
17	32	39	40	43	49	2
6	7	23	27	38	49	24
12	27	28	39	41	48	3
1	8	22	30	34	40	25
6	9	22	38	39	41	37
